CMDLINE python try_STARS_prefetched.py
MEM 2066.328125 1695338479.8869
MEM 2066.328125 1695338479.9921
MEM 2066.328125 1695338480.0973
MEM 2066.328125 1695338480.2025
MEM 2066.328125 1695338480.3077
MEM 2066.328125 1695338480.4129
MEM 2066.328125 1695338480.5181
MEM 2066.328125 1695338480.6233
MEM 2066.328125 1695338480.7239
MEM 2066.328125 1695338480.8248
MEM 2066.328125 1695338480.9275
MEM 2066.328125 1695338481.0320
MEM 2066.328125 1695338481.1343
MEM 2066.328125 1695338481.2349
MEM 2066.328125 1695338481.3401
MEM 2066.328125 1695338481.4436
MEM 2066.328125 1695338481.5488
MEM 2066.328125 1695338481.6506
MEM 2066.328125 1695338481.7558
MEM 2066.328125 1695338481.8610
MEM 2066.328125 1695338481.9629
MEM 2066.328125 1695338482.0680
MEM 2066.328125 1695338482.1732
MEM 2066.328125 1695338482.2747
MEM 2066.328125 1695338482.3799
MEM 2066.328125 1695338482.4843
MEM 2066.328125 1695338482.5895
MEM 2066.328125 1695338482.6947
MEM 2066.328125 1695338482.7973
MEM 2066.328125 1695338482.9019
MEM 2066.328125 1695338483.0025
MEM 2066.328125 1695338483.1032
MEM 2066.328125 1695338483.2058
MEM 2066.328125 1695338483.3066
MEM 2066.328125 1695338483.4118
MEM 2066.328125 1695338483.5142
MEM 2066.328125 1695338483.6194
MEM 2066.328125 1695338483.7245
MEM 2066.328125 1695338483.8258
MEM 2066.328125 1695338483.9263
MEM 2066.328125 1695338484.0266
MEM 2066.328125 1695338484.1280
MEM 2066.328125 1695338484.2286
MEM 2066.328125 1695338484.3294
MEM 2066.328125 1695338484.4346
MEM 2066.328125 1695338484.5398
MEM 2066.328125 1695338484.6450
MEM 2066.328125 1695338484.7502
MEM 2066.328125 1695338484.8515
MEM 2066.328125 1695338484.9566
MEM 2066.328125 1695338485.0601
MEM 2066.328125 1695338485.1653
MEM 2066.328125 1695338485.2705
MEM 2066.328125 1695338485.3757
MEM 2066.328125 1695338485.4770
MEM 2066.328125 1695338485.5779
MEM 2066.328125 1695338485.6831
MEM 2066.328125 1695338485.7883
MEM 2066.328125 1695338485.8935
MEM 2066.328125 1695338485.9944
MEM 2066.328125 1695338486.0950
MEM 2066.328125 1695338486.2002
MEM 2066.328125 1695338486.3005
MEM 2066.328125 1695338486.4012
MEM 2066.328125 1695338486.5064
MEM 2066.328125 1695338486.6116
MEM 2066.328125 1695338486.7168
MEM 2066.328125 1695338486.8175
MEM 2066.328125 1695338486.9177
MEM 2066.328125 1695338487.0185
MEM 2066.328125 1695338487.1190
MEM 2066.328125 1695338487.2236
MEM 2066.328125 1695338487.3288
MEM 2066.328125 1695338487.4291
MEM 2066.328125 1695338487.5300
MEM 2066.328125 1695338487.6307
MEM 2066.328125 1695338487.7353
MEM 2066.328125 1695338487.8405
MEM 2066.328125 1695338487.9429
MEM 2066.328125 1695338488.0480
MEM 2066.328125 1695338488.1517
MEM 2066.328125 1695338488.2568
MEM 2066.328125 1695338488.3603
MEM 2066.328125 1695338488.4655
MEM 2066.328125 1695338488.5674
MEM 2066.328125 1695338488.6722
MEM 2066.328125 1695338488.7729
MEM 2066.328125 1695338488.8781
MEM 2066.328125 1695338488.9833
MEM 2066.328125 1695338489.0844
MEM 2066.328125 1695338489.1896
MEM 2066.328125 1695338489.2948
MEM 2066.328125 1695338489.4000
MEM 2066.328125 1695338489.5010
MEM 2066.328125 1695338489.6063
MEM 2066.328125 1695338489.7115
MEM 2066.328125 1695338489.8167
MEM 2066.328125 1695338489.9219
MEM 2066.328125 1695338490.0271
MEM 2066.328125 1695338490.1300
MEM 2066.328125 1695338490.2306
MEM 2066.328125 1695338490.3358
MEM 2066.328125 1695338490.4379
MEM 2066.328125 1695338490.5386
MEM 2066.328125 1695338490.6437
